Skenario Jarak,Jarak (m),α obstruction (°),Elevasi (°),θ_lower (°),θ_upper (°),Klasifikasi
D_min (44.6 m),44.6,21.978,0.5,0.025,0.975,Severe
D_min (44.6 m),44.6,21.978,1.5,1.025,1.975,Severe
D_min (44.6 m),44.6,21.978,2.5,2.025,2.975,Severe
D_min (44.6 m),44.6,21.978,3.5,3.025,3.975,Severe
D_min (44.6 m),44.6,21.978,4.5,4.025,4.975,Severe
D_min (44.6 m),44.6,21.978,6.0,5.525,6.475,Severe
D_min (44.6 m),44.6,21.978,9.9,9.425,10.375,Severe
D_min (44.6 m),44.6,21.978,14.6,14.125,15.075,Severe
D_min (44.6 m),44.6,21.978,19.5,19.025,19.975,Severe
D_center (96.5 m),96.5,10.566,0.5,0.025,0.975,Severe
D_center (96.5 m),96.5,10.566,1.5,1.025,1.975,Severe
D_center (96.5 m),96.5,10.566,2.5,2.025,2.975,Severe
D_center (96.5 m),96.5,10.566,3.5,3.025,3.975,Severe
D_center (96.5 m),96.5,10.566,4.5,4.025,4.975,Severe
D_center (96.5 m),96.5,10.566,6.0,5.525,6.475,Severe
D_center (96.5 m),96.5,10.566,9.9,9.425,10.375,Severe
D_center (96.5 m),96.5,10.566,14.6,14.125,15.075,Clear
D_center (96.5 m),96.5,10.566,19.5,19.025,19.975,Clear
D_max (154.0 m),154.0,6.667,0.5,0.025,0.975,Severe
D_max (154.0 m),154.0,6.667,1.5,1.025,1.975,Severe
D_max (154.0 m),154.0,6.667,2.5,2.025,2.975,Severe
D_max (154.0 m),154.0,6.667,3.5,3.025,3.975,Severe
D_max (154.0 m),154.0,6.667,4.5,4.025,4.975,Severe
D_max (154.0 m),154.0,6.667,6.0,5.525,6.475,Severe
D_max (154.0 m),154.0,6.667,9.9,9.425,10.375,Clear
D_max (154.0 m),154.0,6.667,14.6,14.125,15.075,Clear
D_max (154.0 m),154.0,6.667,19.5,19.025,19.975,Clear
